EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL,IS_DEFAULT
24,ALL CREDITS PAID BACK,RETRAINING,3161,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,Yes
48,NONE TAKEN,OTHER,18424,up to 100 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,YES,YES,1,4,YES,YES,Yes
10,EXISTING CREDITS PAID BACK,USED CAR,2848,100 to 500 K USD,1 to 4 YRS,PA,NO,YES,YES,NO,YES,NO,YES,1,3,NO,NO,No
6,EXISTING CREDITS PAID BACK,NEW CAR,14896,up to 100 K USD,above 7 YRS,PA,NO,YES,NO,NO,NO,YES,YES,1,4,YES,NO,Yes
24,EXISTING CREDITS PAID BACK,FURNITURE,2359,100 to 500 K USD,TBD,PA,YES,NO,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
24,EXISTING CREDITS PAID BACK,FURNITURE,3345,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO,Yes
18,CRITICAL ACCOUNT,FURNITURE,1817,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
48,DELAY IN PAST,ELECTRONICS,12749,500 to 1000 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,No
9,EXISTING CREDITS PAID BACK,ELECTRONICS,1366,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
12,EXISTING CREDITS PAID BACK,NEW CAR,2002,up to 100 K USD,4 to 7 YRS,CT,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,No
24,ALL CREDITS PAID BACK,FURNITURE,6872,up to 100 K USD,up to 1 YR,NJ,YES,NO,NO,NO,NO,YES,YES,1,3,YES,NO,Yes
12,ALL CREDITS PAID BACK,NEW CAR,697,up to 100 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,YES,YES,2,3,YES,NO,Yes
18,CRITICAL ACCOUNT,FURNITURE,1049,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,No
48,EXISTING CREDITS PAID BACK,USED CAR,10297,up to 100 K USD,4 to 7 YRS,NY,NO,YES,NO,NO,NO,YES,NO,3,3,YES,NO,Yes
30,EXISTING CREDITS PAID BACK,ELECTRONICS,1867,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
12,DELAY IN PAST,NEW CAR,1344,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,2,NO,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,1747,up to 100 K USD,up to 1 YR,NY,NO,YES,YES,NO,NO,NO,YES,1,2,NO,YES,No
9,EXISTING CREDITS PAID BACK,ELECTRONICS,1670,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,Yes
9,CRITICAL ACCOUNT,NEW CAR,1224,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,YES,NO,YES,2,3,NO,NO,No
12,CRITICAL ACCOUNT,ELECTRONICS,522,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1498,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,YES,YES,1,3,NO,NO,No
30,DELAY IN PAST,ELECTRONICS,1919,100 to 500 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,YES,YES,2,4,NO,NO,Yes
9,EXISTING CREDITS PAID BACK,ELECTRONICS,745,up to 100 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO,Yes
6,EXISTING CREDITS PAID BACK,ELECTRONICS,2063,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,NO,1,4,YES,NO,No
60,EXISTING CREDITS PAID BACK,EDUCATION,6288,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
24,CRITICAL ACCOUNT,USED CAR,6842,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,NEW CAR,3527,UNKNOWN/NONE,up to 1 YR,NJ,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,No
10,EXISTING CREDITS PAID BACK,NEW CAR,1546,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,YES,NO,YES,1,2,NO,YES,No
24,EXISTING CREDITS PAID BACK,FURNITURE,929,UNKNOWN/NONE,4 to 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,3,YES,NO,No
4,CRITICAL ACCOUNT,NEW CAR,1455,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,3,2,NO,NO,No
15,EXISTING CREDITS PAID BACK,FURNITURE,1845,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,YES,NO,NO,NO,1,3,NO,NO,No
48,NONE TAKEN,NEW CAR,8358,500 to 1000 K USD,up to 1 YR,PA,NO,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
24,ALL CREDITS PAID BACK,FURNITURE,3349,500 to 1000 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,Yes
12,EXISTING CREDITS PAID BACK,NEW CAR,2859,UNKNOWN/NONE,TBD,NY,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,No
18,EXISTING CREDITS PAID BACK,FURNITURE,1533,up to 100 K USD,up to 1 YR,NY,NO,NO,YES,NO,NO,NO,YES,1,2,NO,NO,Yes
24,EXISTING CREDITS PAID BACK,ELECTRONICS,3621,100 to 500 K USD,above 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,Yes
18,CRITICAL ACCOUNT,RETRAINING,3590,up to 100 K USD,TBD,CT,NO,NO,NO,NO,NO,NO,YES,3,1,YES,NO,No
36,DELAY IN PAST,RETRAINING,2145,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,Yes
24,EXISTING CREDITS PAID BACK,USED CAR,4113,500 to 1000 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
36,EXISTING CREDITS PAID BACK,FURNITURE,10974,up to 100 K USD,TBD,NY,NO,NO,NO,NO,NO,NO,YES,2,4,YES,NO,Yes
12,EXISTING CREDITS PAID BACK,NEW CAR,1893,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,YES,NO,NO,YES,1,3,YES,NO,No
24,CRITICAL ACCOUNT,ELECTRONICS,1231,above 1000 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,NO,2,4,YES,NO,No
30,CRITICAL ACCOUNT,ELECTRONICS,3656,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,2,2,NO,NO,No
9,CRITICAL ACCOUNT,ELECTRONICS,1154,up to 100 K USD,above 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,3,2,NO,NO,No
28,EXISTING CREDITS PAID BACK,NEW CAR,4006,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,2,NO,NO,Yes
24,EXISTING CREDITS PAID BACK,FURNITURE,3069,100 to 500 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,NO,NO,No
6,CRITICAL ACCOUNT,ELECTRONICS,1740,up to 100 K USD,above 7 YRS,NJ,NO,NO,NO,NO,YES,NO,NO,2,3,NO,NO,No
21,DELAY IN PAST,NEW CAR,2353,up to 100 K USD,1 to 4 YRS,PA,YES,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
15,EXISTING CREDITS PAID BACK,NEW CAR,3556,UNKNOWN/NONE,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,ELECTRONICS,2397,500 to 1000 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,YES,YES,2,3,YES,NO,Yes
6,EXISTING CREDITS PAID BACK,OTHER,454,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,YES,1,2,NO,NO,No
30,EXISTING CREDITS PAID BACK,ELECTRONICS,1715,UNKNOWN/NONE,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,NO,NO,No
27,CRITICAL ACCOUNT,ELECTRONICS,2520,500 to 1000 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,Yes
15,EXISTING CREDITS PAID BACK,ELECTRONICS,3568,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,YES,NO,1,4,YES,NO,No
42,EXISTING CREDITS PAID BACK,ELECTRONICS,7166,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,YES,NO,No
11,CRITICAL ACCOUNT,NEW CAR,3939,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,YES,NO,YES,2,2,NO,NO,No
15,EXISTING CREDITS PAID BACK,OTHER,1514,100 to 500 K USD,1 to 4 YRS,NY,NO,YES,NO,YES,YES,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,NEW CAR,7393,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,NO,YES,1,2,NO,NO,No
24,ALL CREDITS PAID BACK,NEW CAR,1193,up to 100 K USD,TBD,PA,NO,NO,YES,NO,NO,NO,NO,2,1,NO,NO,Yes
60,EXISTING CREDITS PAID BACK,RETRAINING,7297,up to 100 K USD,above 7 YRS,NY,NO,YES,YES,NO,NO,NO,NO,1,3,NO,NO,Yes
30,CRITICAL ACCOUNT,ELECTRONICS,2831,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1258,500 to 1000 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,NO,NO,YES,1,2,NO,NO,No
6,EXISTING CREDITS PAID BACK,ELECTRONICS,753,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,YES,YES,NO,YES,1,3,NO,NO,No
18,DELAY IN PAST,RETRAINING,2427,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
24,DELAY IN PAST,NEW CAR,2538,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,Yes
15,ALL CREDITS PAID BACK,NEW CAR,1264,100 to 500 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
30,CRITICAL ACCOUNT,FURNITURE,8386,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
48,EXISTING CREDITS PAID BACK,RETRAINING,4844,up to 100 K USD,TBD,CT,NO,YES,NO,NO,NO,YES,NO,1,4,YES,NO,Yes
21,EXISTING CREDITS PAID BACK,NEW CAR,2923,100 to 500 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,YES,YES,1,4,YES,NO,No
36,EXISTING CREDITS PAID BACK,USED CAR,8229,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,Yes
24,CRITICAL ACCOUNT,FURNITURE,2028,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,No
15,CRITICAL ACCOUNT,FURNITURE,1433,up to 100 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,NO,2,3,NO,NO,No
42,NONE TAKEN,RETRAINING,6289,up to 100 K USD,up to 1 YR,NJ,YES,NO,NO,NO,NO,NO,YES,2,3,NO,NO,No
13,EXISTING CREDITS PAID BACK,ELECTRONICS,1409,100 to 500 K USD,TBD,NJ,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,USED CAR,6579,up to 100 K USD,TBD,NY,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO,No
24,CRITICAL ACCOUNT,ELECTRONICS,1743,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,No
12,CRITICAL ACCOUNT,EDUCATION,3565,UNKNOWN/NONE,up to 1 YR,NJ,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,No
15,ALL CREDITS PAID BACK,ELECTRONICS,1569,100 to 500 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,2,NO,NO,No
18,EXISTING CREDITS PAID BACK,ELECTRONICS,1936,UNKNOWN/NONE,4 to 7 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,2,2,NO,NO,No
36,EXISTING CREDITS PAID BACK,FURNITURE,3959,up to 100 K USD,TBD,NY,NO,YES,NO,NO,NO,NO,YES,1,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,NEW CAR,2390,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
12,EXISTING CREDITS PAID BACK,FURNITURE,1736,up to 100 K USD,4 to 7 YRS,CT,NO,NO,NO,NO,YES,NO,YES,1,2,NO,NO,No
30,EXISTING CREDITS PAID BACK,USED CAR,3857,up to 100 K USD,1 to 4 YRS,NY,YES,NO,NO,NO,NO,NO,YES,1,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,804,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
45,EXISTING CREDITS PAID BACK,ELECTRONICS,1845,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,3,YES,NO,Yes
45,CRITICAL ACCOUNT,USED CAR,4576,100 to 500 K USD,TBD,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
6,CRITICAL ACCOUNT,ELECTRONICS,1169,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,YES,NO,YES,2,3,YES,NO,No
48,EXISTING CREDITS PAID BACK,ELECTRONICS,5951,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,YES,NO,YES,1,3,NO,NO,Yes
12,CRITICAL ACCOUNT,EDUCATION,2096,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,2,NO,NO,No
42,EXISTING CREDITS PAID BACK,FURNITURE,7882,up to 100 K USD,4 to 7 YRS,NJ,NO,YES,NO,YES,NO,NO,NO,1,3,NO,NO,No
24,DELAY IN PAST,NEW CAR,4870,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,NO,2,3,NO,NO,Yes
36,EXISTING CREDITS PAID BACK,EDUCATION,9055,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,1,2,YES,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,2835,500 to 1000 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
36,EXISTING CREDITS PAID BACK,USED CAR,6948,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,NO,1,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,3059,above 1000 K USD,4 to 7 YRS,NJ,YES,NO,NO,NO,YES,NO,YES,1,2,NO,NO,No
30,CRITICAL ACCOUNT,NEW CAR,5234,up to 100 K USD,TBD,NY,NO,NO,NO,NO,NO,NO,YES,2,4,NO,NO,Yes
12,EXISTING CREDITS PAID BACK,NEW CAR,1295,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
48,EXISTING CREDITS PAID BACK,RETRAINING,4308,up to 100 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,Yes
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1567,up to 100 K USD,1 to 4 YRS,PA,NO,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
24,CRITICAL ACCOUNT,NEW CAR,1199,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,Yes
15,EXISTING CREDITS PAID BACK,NEW CAR,1403,up to 100 K USD,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,NO,1,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,ELECTRONICS,1282,100 to 500 K USD,1 to 4 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,2,NO,NO,Yes
24,CRITICAL ACCOUNT,ELECTRONICS,2424,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,2,3,NO,NO,No
30,NONE TAKEN,RETRAINING,8072,UNKNOWN/NONE,up to 1 YR,NJ,NO,YES,NO,NO,NO,YES,YES,3,3,NO,NO,No
24,EXISTING CREDITS PAID BACK,USED CAR,12579,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,NO,1,4,YES,NO,Yes
24,EXISTING CREDITS PAID BACK,ELECTRONICS,3430,500 to 1000 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
9,CRITICAL ACCOUNT,NEW CAR,2134,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,NO,NO,YES,3,3,YES,NO,No
6,EXISTING CREDITS PAID BACK,ELECTRONICS,2647,500 to 1000 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,YES,NO,NO,1,3,NO,NO,No
10,CRITICAL ACCOUNT,NEW CAR,2241,up to 100 K USD,up to 1 YR,PA,NO,YES,NO,NO,YES,NO,NO,2,2,NO,YES,No
12,CRITICAL ACCOUNT,USED CAR,1804,100 to 500 K USD,up to 1 YR,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
10,CRITICAL ACCOUNT,FURNITURE,2069,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,NO,NO,NO,NO,NO,YES,2,3,NO,YES,No
6,EXISTING CREDITS PAID BACK,FURNITURE,1374,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,YES,YES,YES,1,2,YES,NO,No
6,NONE TAKEN,ELECTRONICS,426,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,NO,YES,1,2,NO,NO,No
12,ALL CREDITS PAID BACK,ELECTRONICS,409,above 1000 K USD,1 to 4 YRS,CT,NO,NO,NO,NO,YES,NO,NO,2,3,NO,NO,No
7,EXISTING CREDITS PAID BACK,ELECTRONICS,2415,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,YES,YES,NO,YES,1,3,NO,NO,No
60,DELAY IN PAST,RETRAINING,6836,up to 100 K USD,above 7 YRS,CT,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,Yes
18,EXISTING CREDITS PAID BACK,RETRAINING,1913,above 1000 K USD,up to 1 YR,CT,NO,NO,NO,NO,YES,YES,YES,1,3,YES,NO,No
24,EXISTING CREDITS PAID BACK,FURNITURE,4020,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,YES,YES,1,3,NO,NO,No
18,EXISTING CREDITS PAID BACK,NEW CAR,5866,100 to 500 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,2,3,YES,NO,No
12,CRITICAL ACCOUNT,RETRAINING,1264,UNKNOWN/NONE,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,NO,1,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,FURNITURE,1474,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,YES,YES,1,4,YES,NO,No
45,CRITICAL ACCOUNT,ELECTRONICS,4746,up to 100 K USD,up to 1 YR,NY,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,Yes
48,CRITICAL ACCOUNT,EDUCATION,6110,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,YES,NO,1,3,YES,NO,No
18,EXISTING CREDITS PAID BACK,ELECTRONICS,2100,up to 100 K USD,1 to 4 YRS,NY,NO,YES,YES,NO,YES,YES,YES,1,3,NO,NO,Yes
10,EXISTING CREDITS PAID BACK,OTHER,1225,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
9,EXISTING CREDITS PAID BACK,ELECTRONICS,458,up to 100 K USD,1 to 4 YRS,NY,NO,YES,NO,NO,YES,NO,YES,1,3,NO,NO,No
30,EXISTING CREDITS PAID BACK,ELECTRONICS,2333,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,YES,1,4,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1158,500 to 1000 K USD,1 to 4 YRS,CT,YES,NO,NO,NO,NO,NO,YES,1,3,YES,NO,No
18,DELAY IN PAST,OTHER,6204,up to 100 K USD,1 to 4 YRS,NJ,NO,YES,NO,NO,YES,NO,YES,1,2,YES,NO,No
30,CRITICAL ACCOUNT,USED CAR,6187,100 to 500 K USD,4 to 7 YRS,PA,NO,NO,NO,NO,NO,NO,NO,2,3,NO,NO,No
48,CRITICAL ACCOUNT,USED CAR,6143,up to 100 K USD,above 7 YRS,NY,NO,NO,NO,NO,NO,YES,NO,2,2,NO,NO,Yes
11,CRITICAL ACCOUNT,NEW CAR,1393,up to 100 K USD,up to 1 YR,NY,NO,NO,NO,NO,NO,NO,YES,2,4,NO,NO,No
36,EXISTING CREDITS PAID BACK,ELECTRONICS,2299,500 to 1000 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
6,EXISTING CREDITS PAID BACK,USED CAR,1352,500 to 1000 K USD,TBD,PA,NO,NO,NO,NO,NO,NO,NO,1,1,YES,NO,No
11,CRITICAL ACCOUNT,NEW CAR,7228,up to 100 K USD,1 to 4 YRS,PA,NO,YES,NO,NO,NO,NO,YES,2,2,NO,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,2073,100 to 500 K USD,1 to 4 YRS,NY,NO,NO,YES,NO,YES,NO,YES,1,3,NO,NO,No
24,DELAY IN PAST,FURNITURE,2333,UNKNOWN/NONE,up to 1 YR,NY,NO,YES,NO,NO,NO,YES,YES,1,2,NO,NO,No
27,DELAY IN PAST,USED CAR,5965,up to 100 K USD,above 7 YRS,PA,NO,YES,NO,NO,NO,NO,YES,2,4,YES,NO,No
12,EXISTING CREDITS PAID BACK,ELECTRONICS,1262,up to 100 K USD,1 to 4 YRS,CT,NO,YES,NO,NO,NO,NO,YES,1,3,NO,NO,No
18,EXISTING CREDITS PAID BACK,USED CAR,3378,UNKNOWN/NONE,1 to 4 YRS,NJ,NO,YES,NO,NO,NO,NO,YES,1,3,YES,NO,No
36,DELAY IN PAST,NEW CAR,2225,up to 100 K USD,above 7 YRS,NY,NO,YES,NO,NO,NO,YES,NO,2,3,YES,NO,Yes
